"","column_name"
"1","acchg"
"2","acco"
"3","accrt"
"4","acctchg"
"5","acctstd"
"6","acdo"
"7","aco"
"8","acodo"
"9","acominc"
"10","acox"
"11","acoxar"
"12","acqao"
"13","acqcshi"
"14","acqgdwl"
"15","acqic"
"16","acqintan"
"17","acqinvt"
"18","acqlntal"
"19","acqmeth"
"20","acqniintc"
"21","acqppe"
"22","acqsc"
"23","act"
"24","adjex_c"
"25","adjex_f"
"26","adpac"
"27","adrr"
"28","aedi"
"29","afudcc"
"30","afudci"
"31","ajex"
"32","ajp"
"33","aldo"
"34","am"
"35","amc"
"36","amdc"
"37","amgw"
"38","ano"
"39","ao"
"40","aocidergl"
"41","aociother"
"42","aocipen"
"43","aocisecgl"
"44","aodo"
"45","aol2"
"46","aoloch"
"47","aox"
"48","ap"
"49","apalch"
"50","apb"
"51","apc"
"52","apdedate"
"53","apofs"
"54","aqa"
"55","aqc"
"56","aqd"
"57","aqeps"
"58","aqi"
"59","aqp"
"60","aqpl1"
"61","aqs"
"62","arb"
"63","arc"
"64","arce"
"65","arced"
"66","arceeps"
"67","artfs"
"68","at"
"69","au"
"70","aul3"
"71","auop"
"72","auopic"
"73","autxr"
"74","balr"
"75","banlr"
"76","bast"
"77","bastr"
"78","batr"
"79","bcef"
"80","bclr"
"81","bcltbl"
"82","bcnlr"
"83","bcrbl"
"84","bct"
"85","bctbl"
"86","bctr"
"87","billexce"
"88","bkvlps"
"89","bltbl"
"90","bspr"
"91","ca"
"92","capr1"
"93","capr2"
"94","capr3"
"95","caps"
"96","capsft"
"97","capx"
"98","capxv"
"99","cb"
"100","cbi"
"101","cdpac"
"102","cdvc"
"103","ceiexbill"
"104","ceoso"
"105","ceq"
"106","ceql"
"107","ceqt"
"108","cfbd"
"109","cfere"
"110","cfo"
"111","cfoso"
"112","cfpdo"
"113","cga"
"114","cgri"
"115","cgti"
"116","cgui"
"117","ch"
"118","che"
"119","chech"
"120","chs"
"121","ci"
"122","cibegni"
"123","cicurr"
"124","cidergl"
"125","cik"
"126","cimii"
"127","ciother"
"128","cipen"
"129","cisecgl"
"130","citotal"
"131","cld2"
"132","cld3"
"133","cld4"
"134","cld5"
"135","clfc"
"136","clfx"
"137","clg"
"138","clis"
"139","cll"
"140","cllc"
"141","clo"
"142","clrll"
"143","clt"
"144","cmp"
"145","cnltbl"
"146","cogs"
"147","compst"
"148","conm"
"149","consol"
"150","costat"
"151","cpcbl"
"152","cpdoi"
"153","cpnli"
"154","cppbl"
"155","cprei"
"156","crv"
"157","crvnli"
"158","cshfd"
"159","cshi"
"160","csho"
"161","cshpri"
"162","cshr"
"163","cshrc"
"164","cshrp"
"165","cshrso"
"166","cshrt"
"167","cshrw"
"168","cshtr_c"
"169","cshtr_f"
"170","cstk"
"171","cstkcv"
"172","cstke"
"173","curcd"
"174","curncd"
"175","currtr"
"176","curuscn"
"177","cusip"
"178","datadate"
"179","datafmt"
"180","dbi"
"181","dc"
"182","dclo"
"183","dcom"
"184","dcpstk"
"185","dcs"
"186","dcvsr"
"187","dcvsub"
"188","dcvt"
"189","dd"
"190","dd1"
"191","dd2"
"192","dd3"
"193","dd4"
"194","dd5"
"195","depc"
"196","derac"
"197","deralt"
"198","derhedgl"
"199","derlc"
"200","derllt"
"201","dfpac"
"202","dfs"
"203","dfxa"
"204","diladj"
"205","dilavx"
"206","dlc"
"207","dlcch"
"208","dltis"
"209","dlto"
"210","dltp"
"211","dltr"
"212","dltsub"
"213","dltt"
"214","dm"
"215","dn"
"216","do"
"217","donr"
"218","dp"
"219","dpacb"
"220","dpacc"
"221","dpacli"
"222","dpacls"
"223","dpacme"
"224","dpacnr"
"225","dpaco"
"226","dpacre"
"227","dpact"
"228","dpc"
"229","dpdc"
"230","dpltb"
"231","dpret"
"232","dpsc"
"233","dpstb"
"234","dptb"
"235","dptc"
"236","dptic"
"237","dpvieb"
"238","dpvio"
"239","dpvir"
"240","drc"
"241","drci"
"242","drlt"
"243","ds"
"244","dt"
"245","dtea"
"246","dted"
"247","dteeps"
"248","dtep"
"249","dudd"
"250","dv"
"251","dvc"
"252","dvdnp"
"253","dvintf"
"254","dvp"
"255","dvpa"
"256","dvpd"
"257","dvpdp"
"258","dvpibb"
"259","dvpsp_c"
"260","dvpsp_f"
"261","dvpsx_c"
"262","dvpsx_f"
"263","dvrpiv"
"264","dvrre"
"265","dvsco"
"266","dvt"
"267","dxd2"
"268","dxd3"
"269","dxd4"
"270","dxd5"
"271","ea"
"272","ebit"
"273","ebitda"
"274","eiea"
"275","emol"
"276","emp"
"277","epsfi"
"278","epsfx"
"279","epspi"
"280","epspx"
"281","esopct"
"282","esopdlt"
"283","esopnr"
"284","esopr"
"285","esopt"
"286","esub"
"287","esubc"
"288","excadj"
"289","exchg"
"290","exre"
"291","fatb"
"292","fatc"
"293","fatd"
"294","fate"
"295","fatl"
"296","fatn"
"297","fato"
"298","fatp"
"299","fca"
"300","fdate"
"301","fdfr"
"302","fea"
"303","fel"
"304","ffo"
"305","ffs"
"306","fiao"
"307","fic"
"308","finaco"
"309","final"
"310","finao"
"311","fincf"
"312","finch"
"313","findlc"
"314","findlt"
"315","finivst"
"316","finlco"
"317","finlto"
"318","finnp"
"319","finrecc"
"320","finreclt"
"321","finrev"
"322","finxint"
"323","finxopr"
"324","fopo"
"325","fopox"
"326","fopt"
"327","fsrco"
"328","fsrct"
"329","fuseo"
"330","fuset"
"331","fyear"
"332","fyr"
"333","gbbl"
"334","gdwl"
"335","gdwlam"
"336","gdwlia"
"337","gdwlid"
"338","gdwlieps"
"339","gdwlip"
"340","geqrv"
"341","gla"
"342","glcea"
"343","glced"
"344","glceeps"
"345","glcep"
"346","gld"
"347","gleps"
"348","gliv"
"349","glp"
"350","govgr"
"351","govtown"
"352","gp"
"353","gphbl"
"354","gplbl"
"355","gpobl"
"356","gprbl"
"357","gptbl"
"358","gvkey"
"359","gwo"
"360","hedgegl"
"361","iaeq"
"362","iaeqci"
"363","iaeqmi"
"364","iafici"
"365","iafxi"
"366","iafxmi"
"367","iali"
"368","ialoi"
"369","ialti"
"370","iamli"
"371","iaoi"
"372","iapli"
"373","iarei"
"374","iasci"
"375","iasmi"
"376","iassi"
"377","iasti"
"378","iatci"
"379","iati"
"380","iatmi"
"381","iaui"
"382","ib"
"383","ibadj"
"384","ibbl"
"385","ibc"
"386","ibcom"
"387","ibki"
"388","ibmii"
"389","icapt"
"390","idiis"
"391","idilb"
"392","idilc"
"393","idis"
"394","idist"
"395","idit"
"396","idits"
"397","iid"
"398","iire"
"399","indfmt"
"400","initb"
"401","intan"
"402","intano"
"403","intc"
"404","intpn"
"405","invch"
"406","invfg"
"407","invo"
"408","invofs"
"409","invreh"
"410","invrei"
"411","invres"
"412","invrm"
"413","invt"
"414","invwip"
"415","iobd"
"416","ioi"
"417","iore"
"418","ip"
"419","ipabl"
"420","ipc"
"421","iphbl"
"422","iplbl"
"423","ipobl"
"424","iptbl"
"425","ipti"
"426","ipv"
"427","irei"
"428","irent"
"429","irii"
"430","irli"
"431","irnli"
"432","irsi"
"433","iseq"
"434","iseqc"
"435","iseqm"
"436","isfi"
"437","isfxc"
"438","isfxm"
"439","isgr"
"440","isgt"
"441","isgu"
"442","islg"
"443","islgc"
"444","islgm"
"445","islt"
"446","ismod"
"447","isng"
"448","isngc"
"449","isngm"
"450","isotc"
"451","isoth"
"452","isotm"
"453","issc"
"454","issm"
"455","issu"
"456","ist"
"457","istc"
"458","istm"
"459","isut"
"460","itcb"
"461","itcc"
"462","itci"
"463","ivaco"
"464","ivaeq"
"465","ivao"
"466","ivch"
"467","ivgod"
"468","ivi"
"469","ivncf"
"470","ivpt"
"471","ivst"
"472","ivstch"
"473","lcabg"
"474","lcacl"
"475","lcacr"
"476","lcag"
"477","lcal"
"478","lcalt"
"479","lcam"
"480","lcao"
"481","lcast"
"482","lcat"
"483","lco"
"484","lcox"
"485","lcoxar"
"486","lcoxdr"
"487","lct"
"488","lcuacu"
"489","li"
"490","lif"
"491","lifr"
"492","lifrp"
"493","lloml"
"494","lloo"
"495","llot"
"496","llrci"
"497","llrcr"
"498","llwoci"
"499","llwocr"
"500","lno"
"501","lo"
"502","lol2"
"503","loxdr"
"504","lqpl1"
"505","lrv"
"506","ls"
"507","lse"
"508","lst"
"509","lt"
"510","ltcm"
"511","lul3"
"512","mib"
"513","mibn"
"514","mibt"
"515","mii"
"516","mkvalt"
"517","mrc1"
"518","mrc2"
"519","mrc3"
"520","mrc4"
"521","mrc5"
"522","mrct"
"523","mrcta"
"524","msa"
"525","msvrv"
"526","mtl"
"527","naicsh"
"528","nat"
"529","nco"
"530","nfsr"
"531","ni"
"532","niadj"
"533","nieci"
"534","niint"
"535","niintpfc"
"536","niintpfp"
"537","niit"
"538","nim"
"539","nio"
"540","nipfc"
"541","nipfp"
"542","nit"
"543","nits"
"544","nopi"
"545","nopio"
"546","np"
"547","npanl"
"548","npaore"
"549","nparl"
"550","npat"
"551","nrtxt"
"552","nrtxtd"
"553","nrtxteps"
"554","oancf"
"555","ob"
"556","ogm"
"557","oiadp"
"558","oibdp"
"559","opeps"
"560","opili"
"561","opincar"
"562","opini"
"563","opioi"
"564","opiri"
"565","opiti"
"566","oprepsx"
"567","optca"
"568","optdr"
"569","optex"
"570","optexd"
"571","optfvgr"
"572","optgr"
"573","optlife"
"574","optosby"
"575","optosey"
"576","optprcby"
"577","optprcca"
"578","optprcex"
"579","optprcey"
"580","optprcgr"
"581","optprcwa"
"582","optrfr"
"583","optvol"
"584","palr"
"585","panlr"
"586","patr"
"587","pcl"
"588","pclr"
"589","pcnlr"
"590","pctr"
"591","pdate"
"592","pddur"
"593","pdvc"
"594","pi"
"595","pidom"
"596","pifo"
"597","pll"
"598","pltbl"
"599","pnca"
"600","pncad"
"601","pncaeps"
"602","pncia"
"603","pncid"
"604","pncieps"
"605","pncip"
"606","pncwia"
"607","pncwid"
"608","pncwieps"
"609","pncwip"
"610","pnlbl"
"611","pnli"
"612","pnrsho"
"613","pobl"
"614","popsrc"
"615","ppcbl"
"616","ppegt"
"617","ppenb"
"618","ppenc"
"619","ppenli"
"620","ppenls"
"621","ppenme"
"622","ppennr"
"623","ppeno"
"624","ppent"
"625","ppevbb"
"626","ppeveb"
"627","ppevo"
"628","ppevr"
"629","pppabl"
"630","ppphbl"
"631","pppobl"
"632","ppptbl"
"633","prc"
"634","prca"
"635","prcad"
"636","prcaeps"
"637","prcc_c"
"638","prcc_f"
"639","prch_c"
"640","prch_f"
"641","prcl_c"
"642","prcl_f"
"643","prebl"
"644","pri"
"645","prodv"
"646","prsho"
"647","prstkc"
"648","prstkcc"
"649","prstkpc"
"650","prvt"
"651","pstk"
"652","pstkc"
"653","pstkl"
"654","pstkn"
"655","pstkr"
"656","pstkrv"
"657","ptbl"
"658","ptran"
"659","pvcl"
"660","pvo"
"661","pvon"
"662","pvpl"
"663","pvt"
"664","pwoi"
"665","radp"
"666","ragr"
"667","rank"
"668","rari"
"669","rati"
"670","rca"
"671","rcd"
"672","rceps"
"673","rcl"
"674","rcp"
"675","rdip"
"676","rdipa"
"677","rdipd"
"678","rdipeps"
"679","rdp"
"680","re"
"681","rea"
"682","reajo"
"683","recch"
"684","recco"
"685","recd"
"686","rect"
"687","recta"
"688","rectr"
"689","recub"
"690","ret"
"691","reuna"
"692","reunr"
"693","revt"
"694","ris"
"695","rll"
"696","rlo"
"697","rlp"
"698","rlri"
"699","rlt"
"700","rmum"
"701","rpag"
"702","rra"
"703","rrd"
"704","rreps"
"705","rrp"
"706","rstche"
"707","rstchelt"
"708","rvbci"
"709","rvbpi"
"710","rvbti"
"711","rvdo"
"712","rvdt"
"713","rveqt"
"714","rvlrv"
"715","rvno"
"716","rvnt"
"717","rvri"
"718","rvsi"
"719","rvti"
"720","rvtxr"
"721","rvupi"
"722","rvutx"
"723","saa"
"724","sal"
"725","sale"
"726","salepfc"
"727","salepfp"
"728","sbdc"
"729","sc"
"730","scf"
"731","sco"
"732","scstkc"
"733","secu"
"734","seq"
"735","seqo"
"736","seta"
"737","setd"
"738","seteps"
"739","setp"
"740","sich"
"741","siv"
"742","spce"
"743","spced"
"744","spceeps"
"745","spi"
"746","spid"
"747","spieps"
"748","spioa"
"749","spiop"
"750","sppe"
"751","sppiv"
"752","spstkc"
"753","src"
"754","sret"
"755","srt"
"756","ssnp"
"757","sstk"
"758","stalt"
"759","stbo"
"760","stio"
"761","stkco"
"762","stkcpa"
"763","tdc"
"764","tdscd"
"765","tdsce"
"766","tdsg"
"767","tdslg"
"768","tdsmm"
"769","tdsng"
"770","tdso"
"771","tdss"
"772","tdst"
"773","teq"
"774","tf"
"775","tfva"
"776","tfvce"
"777","tfvl"
"778","tic"
"779","tie"
"780","tii"
"781","tlcf"
"782","transa"
"783","tsa"
"784","tsafc"
"785","tso"
"786","tstk"
"787","tstkc"
"788","tstkme"
"789","tstkn"
"790","tstkp"
"791","txach"
"792","txbco"
"793","txbcof"
"794","txc"
"795","txdb"
"796","txdba"
"797","txdbca"
"798","txdbcl"
"799","txdc"
"800","txdfed"
"801","txdfo"
"802","txdi"
"803","txditc"
"804","txds"
"805","txeqa"
"806","txeqii"
"807","txfed"
"808","txfo"
"809","txndb"
"810","txndba"
"811","txndbl"
"812","txndbr"
"813","txo"
"814","txp"
"815","txpd"
"816","txr"
"817","txs"
"818","txt"
"819","txtubadjust"
"820","txtubbegin"
"821","txtubend"
"822","txtubmax"
"823","txtubmin"
"824","txtubposdec"
"825","txtubposinc"
"826","txtubpospdec"
"827","txtubpospinc"
"828","txtubsettle"
"829","txtubsoflimit"
"830","txtubtxtr"
"831","txtubxintbs"
"832","txtubxintis"
"833","txva"
"834","txw"
"835","uaoloch"
"836","uaox"
"837","uapt"
"838","ucaps"
"839","uccons"
"840","uceq"
"841","ucustad"
"842","udcopres"
"843","udd"
"844","udfcc"
"845","udmb"
"846","udolt"
"847","udpco"
"848","udpfa"
"849","udpl"
"850","udvp"
"851","ufretsd"
"852","ugi"
"853","ui"
"854","uinvt"
"855","ulcm"
"856","ulco"
"857","uniami"
"858","unl"
"859","unnp"
"860","unnpl"
"861","unopinc"
"862","unwcc"
"863","uois"
"864","uopi"
"865","uopres"
"866","upd"
"867","updvp"
"868","upmcstk"
"869","upmpf"
"870","upmpfs"
"871","upmsubp"
"872","upstk"
"873","upstkc"
"874","upstksf"
"875","urect"
"876","urectr"
"877","urevub"
"878","uspi"
"879","ustdnc"
"880","usubdvp"
"881","usubpstk"
"882","utfdoc"
"883","utfosc"
"884","utme"
"885","utxfed"
"886","uwkcapc"
"887","uxinst"
"888","uxintd"
"889","vpac"
"890","vpo"
"891","wcap"
"892","wcapc"
"893","wcapch"
"894","wda"
"895","wdd"
"896","wdeps"
"897","wdp"
"898","xacc"
"899","xad"
"900","xago"
"901","xagt"
"902","xcom"
"903","xcomi"
"904","xdepl"
"905","xdp"
"906","xdvre"
"907","xeqo"
"908","xi"
"909","xido"
"910","xidoc"
"911","xindb"
"912","xindc"
"913","xins"
"914","xinst"
"915","xint"
"916","xintd"
"917","xintopt"
"918","xivi"
"919","xivre"
"920","xlr"
"921","xnbi"
"922","xnf"
"923","xnins"
"924","xnitb"
"925","xobd"
"926","xoi"
"927","xopr"
"928","xoprar"
"929","xoptd"
"930","xopteps"
"931","xore"
"932","xpp"
"933","xpr"
"934","xrd"
"935","xrdp"
"936","xrent"
"937","xs"
"938","xsga"
"939","xstf"
"940","xstfo"
"941","xstfws"
"942","xt"
"943","xuw"
"944","xuwli"
"945","xuwnli"
"946","xuwoi"
"947","xuwrei"
"948","xuwti"
